% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-01
% Frequency: 24400.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00702.000  -87.66 -133.67
00703.000  -87.52 -138.38
00704.000  -87.15 -140.17
00705.000  -86.07 -138.58
00706.000  -86.78 -139.98
00707.000  -86.57 -142.90
00708.000  -88.33 -143.29
00709.000  -87.50 -160.43
00710.000  -86.96 -158.50
00711.000  -88.10 -147.96
00712.000  -87.67 -145.96
00713.000  -86.12 -144.07
00714.000  -87.33 -150.02
00715.000  -87.13 -137.64
00716.000  -87.97 -136.80
00717.000  -87.62 -135.43
00718.000  -85.67 -131.90
00719.000  -86.72 -144.13
00720.000  -86.60 -140.66
00721.000  -85.76 -144.23
00722.000  -87.98 -144.10
00723.000  -88.23 -150.33
00724.000  -86.90 -146.56
00725.000  -86.99 -138.85
00726.000  -88.19 -145.91
00727.000  -86.91 -142.55
00728.000  -87.08 -139.49
00729.000  -87.14 -141.26
00730.000  -87.77 -145.40
00731.000  -88.04 -131.56
00732.000  -88.25 -131.02
00733.000  -87.13 -130.43
00734.000  -86.88 -138.43
00735.000  -86.19 -140.13
00736.000  -87.31 -140.37
00737.000  -87.48 -145.15
00738.000  -86.57 -142.99
00739.000  -87.15 -141.67
00740.000  -88.06 -146.77
00741.000  -88.35 -138.44
00742.000  -87.28 -152.40
00743.000  -86.91 -148.12
00744.000  -87.26 -144.59
00745.000  -86.22 -144.02
00746.000  -87.11 -135.74
00747.000  -86.74 -134.93
00748.000  -86.05 -144.02
00749.000  -87.60 -134.88
00750.000  -88.12 -141.67
00751.000  -86.74 -139.86
00752.000  -87.06 -139.00
00753.000  -87.03 -148.00
00754.000  -87.81 -144.83
00755.000  -87.79 -142.20
00756.000  -87.05 -148.03
00757.000  -87.70 -151.48
00758.000  -87.51 -142.18
00759.000  -87.45 -148.32
00760.000  -87.60 -142.64
00761.000  -87.01 -145.55
00762.000  -86.77 -140.58
00763.000  -88.60 -140.89
00764.000  -88.53 -142.99
00765.000  -87.63 -134.38
00766.000  -87.61 -133.79
00767.000  -86.70 -124.32
00768.000  -87.11 -120.88
00769.000  -86.25 -121.59
00770.000  -87.31 -118.89
00771.000  -88.62 -113.34
00772.000  -87.09 -108.11
00773.000  -87.47 -114.79
00774.000  -87.37 -110.98
00775.000  -86.44 -118.83
00776.000  -87.63 -115.86
00777.000  -86.75 -117.29
00778.000  -86.39 -121.42
00779.000  -87.75 -130.27
00780.000  -86.74 -122.64
00781.000  -87.25 -119.70
00782.000  -86.37 -120.15
00783.000  -87.72 -112.11
00784.000  -87.64 -114.17
00785.000  -87.44 -121.17
00786.000  -86.27 -118.41
00787.000  -87.74 -117.08
00788.000  -88.15 -113.60
00789.000  -87.92 -122.54
00790.000  -87.76 -115.58
00791.000  -87.37 -120.17
