% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-04
% Frequency: 37500.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00883.000  -82.55  111.35
00884.000  -82.46  111.85
00885.000  -82.59  110.95
00886.000  -82.41  111.12
00887.000  -82.37  112.53
00888.000  -82.47  109.99
00889.000  -82.46  110.93
00890.000  -82.55  111.53
00891.000  -82.58  110.65
00892.000  -82.55  110.03
00893.000  -82.65  110.04
00894.000  -82.43  110.15
00895.000  -82.55  110.33
00896.000  -82.60  110.35
00897.000  -82.42  110.09
00898.000  -82.29  109.99
00899.000  -82.36  111.24
00900.000  -82.50  110.55
00901.000  -82.30  108.37
00902.000  -82.52  109.91
00903.000  -82.52  108.94
00904.000  -82.33  109.20
00905.000  -82.37  109.00
00906.000  -82.22  108.45
00907.000  -82.22  108.92
00908.000  -82.34  109.67
00909.000  -82.29  108.38
00910.000  -82.18  108.06
00911.000  -82.37  107.97
00912.000  -82.24  108.22
00913.000  -82.56  108.18
00914.000  -82.41  107.89
00915.000  -82.50  109.01
00916.000  -82.45  108.45
00917.000  -82.46  108.20
00918.000  -82.45  108.03
00919.000  -82.41  107.52
00920.000  -82.32  107.77
00921.000  -82.47  107.78
00922.000  -82.41  107.57
00923.000  -82.24  108.59
00924.000  -82.47  109.01
00925.000  -82.36  108.32
00926.000  -82.47  108.52
00927.000  -82.45  107.64
00928.000  -82.61  106.63
00929.000  -82.43  108.91
00930.000  -82.40  106.77
00931.000  -82.49  109.19
00932.000  -82.37  108.49
00933.000  -82.44  108.25
00934.000  -82.21  108.02
00935.000  -82.39  109.08
00936.000  -82.45  106.86
00937.000  -82.26  107.88
00938.000  -82.37  107.87
00939.000  -82.49  108.07
