% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-05
% Frequency: 16400.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00795.000  -60.39 -147.56
00796.000  -60.39 -150.16
00797.000  -60.49 -154.16
00798.000  -60.43 -157.22
00799.000  -60.48 -160.87
00800.000  -60.36 -164.62
00801.000  -60.38 -167.78
00802.000  -60.36 -170.54
00803.000  -60.44 -174.21
00804.000  -60.48 -176.85
00805.000  -60.40  179.10
00806.000  -60.30  176.38
00807.000  -60.35  172.46
00808.000  -60.36  169.57
00809.000  -60.39  165.97
00810.000  -60.31  163.39
00811.000  -60.31  159.94
00812.000  -60.30  156.66
00813.000  -60.27  153.23
00814.000  -60.25  149.50
00815.000  -60.23  146.46
00816.000  -60.20  143.03
00817.000  -60.24  140.58
00818.000  -60.21  136.69
00819.000  -60.19  133.32
00820.000  -60.18  129.94
00821.000  -60.26  126.86
00822.000  -60.08  123.53
00823.000  -60.22  119.93
00824.000  -60.20  116.38
00825.000  -60.21  113.29
00826.000  -60.15  109.63
00827.000  -60.29  106.85
00828.000  -60.29  103.66
00829.000  -60.16  100.68
00830.000  -60.11   96.90
00831.000  -60.23   93.95
00832.000  -60.20   90.27
00833.000  -60.24   86.75
00834.000  -60.24   83.45
00835.000  -60.29   80.40
00836.000  -60.34   77.40
00837.000  -60.25   74.46
00838.000  -60.33   71.10
00839.000  -60.39   67.64
00840.000  -60.38   64.35
00841.000  -60.38   61.43
00842.000  -60.32   58.37
00843.000  -60.41   54.88
00844.000  -60.46   51.94
00845.000  -60.35   48.65
00846.000  -60.31   45.70
00847.000  -60.33   42.05
00848.000  -60.37   39.19
00849.000  -60.43   35.16
00850.000  -60.45   31.78
00851.000  -60.40   28.69
00852.000  -60.47   25.51
00853.000  -60.39   22.97
00854.000  -60.37   18.80
00855.000  -60.37   15.74
00856.000  -60.39   12.21
00857.000  -60.35    8.29
00858.000  -60.39    5.46
00859.000  -60.48    2.21
00860.000  -60.41   -0.86
00861.000  -60.50   -3.61
00862.000  -60.46   -6.84
00863.000  -60.48   -9.80
00864.000  -60.54  -13.73
00865.000  -60.48  -16.55
00866.000  -60.48  -18.96
00867.000  -60.56  -21.93
00868.000  -60.68  -25.36
00869.000  -60.50  -28.80
00870.000  -60.44  -31.55
00871.000  -60.52  -35.23
00872.000  -60.52  -38.63
00873.000  -60.38  -42.11
00874.000  -60.48  -44.46
00875.000  -60.52  -48.54
00876.000  -60.48  -51.57
00877.000  -60.45  -54.89
00878.000  -60.47  -58.39
00879.000  -60.57  -60.89
00880.000  -60.55  -64.37
00881.000  -60.50  -66.54
00882.000  -60.58  -70.48
00883.000  -60.55  -73.53
00884.000  -60.60  -77.48
00885.000  -60.76  -80.59
00886.000  -60.68  -83.37
00887.000  -60.74  -86.23
00888.000  -60.78  -89.83
00889.000  -60.69  -92.72
00890.000  -60.77  -95.88
00891.000  -60.70  -98.61
00892.000  -60.72 -102.29
00893.000  -60.77 -105.36
00894.000  -60.73 -108.65
00895.000  -60.72 -112.21
